Run	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Sample Characteristic[cell type]	Sample Characteristic Ontology Term[cell type]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Factor Value[RNA interference]	Factor Value Ontology Term[RNA interference]	Analysed
ERR2200162	MCF-7	http://www.ebi.ac.uk/efo/EFO_0001203	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	mammary gland	http://purl.obolibrary.org/obo/UBERON_0001911	DDX3 siRNA 6		Yes
ERR2200163	MCF-7	http://www.ebi.ac.uk/efo/EFO_0001203	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	mammary gland	http://purl.obolibrary.org/obo/UBERON_0001911	DDX3 siRNA 6		Yes
ERR2200164	MCF-7	http://www.ebi.ac.uk/efo/EFO_0001203	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	mammary gland	http://purl.obolibrary.org/obo/UBERON_0001911	DDX3 siRNA 6		Yes
ERR2200165	MCF-7	http://www.ebi.ac.uk/efo/EFO_0001203	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	mammary gland	http://purl.obolibrary.org/obo/UBERON_0001911	DDX3 siRNA 8		Yes
ERR2200166	MCF-7	http://www.ebi.ac.uk/efo/EFO_0001203	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	mammary gland	http://purl.obolibrary.org/obo/UBERON_0001911	DDX3 siRNA 8		Yes
ERR2200167	MCF-7	http://www.ebi.ac.uk/efo/EFO_0001203	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	mammary gland	http://purl.obolibrary.org/obo/UBERON_0001911	DDX3 siRNA 8		Yes
ERR2200168	MCF-7	http://www.ebi.ac.uk/efo/EFO_0001203	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	mammary gland	http://purl.obolibrary.org/obo/UBERON_0001911	DDX54 siRNA 12		Yes
ERR2200169	MCF-7	http://www.ebi.ac.uk/efo/EFO_0001203	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	mammary gland	http://purl.obolibrary.org/obo/UBERON_0001911	DDX54 siRNA 12		Yes
ERR2200170	MCF-7	http://www.ebi.ac.uk/efo/EFO_0001203	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	mammary gland	http://purl.obolibrary.org/obo/UBERON_0001911	DDX54 siRNA 12		Yes
ERR2200171	MCF-7	http://www.ebi.ac.uk/efo/EFO_0001203	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	mammary gland	http://purl.obolibrary.org/obo/UBERON_0001911	DDX54 siRNA 9		Yes
