Run	Sample Characteristic[cell type]	Sample Characteristic Ontology Term[cell type]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Factor Value[compound]	Factor Value Ontology Term[compound]	Analysed
SRR1012917	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	17beta-estradiol 10 nanomolar	http://purl.obolibrary.org/obo/CHEBI_16469	Yes
SRR1012918	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	17beta-estradiol 10 nanomolar	http://purl.obolibrary.org/obo/CHEBI_16469	Yes
SRR1012919	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	17beta-estradiol 10 nanomolar	http://purl.obolibrary.org/obo/CHEBI_16469	Yes
SRR1012920	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	17beta-estradiol 10 nanomolar	http://purl.obolibrary.org/obo/CHEBI_16469	Yes
SRR1012921	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	17beta-estradiol 10 nanomolar	http://purl.obolibrary.org/obo/CHEBI_16469	Yes
SRR1012922	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	17beta-estradiol 10 nanomolar	http://purl.obolibrary.org/obo/CHEBI_16469	Yes
SRR1012923	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	17beta-estradiol 10 nanomolar	http://purl.obolibrary.org/obo/CHEBI_16469	Yes
SRR1012924	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	17beta-estradiol 10 nanomolar	http://purl.obolibrary.org/obo/CHEBI_16469	Yes
SRR1012925	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	17beta-estradiol 10 nanomolar	http://purl.obolibrary.org/obo/CHEBI_16469	Yes
SRR1012926	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	17beta-estradiol 10 nanomolar	http://purl.obolibrary.org/obo/CHEBI_16469	Yes
SRR1012927	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	17beta-estradiol 10 nanomolar	http://purl.obolibrary.org/obo/CHEBI_16469	Yes
SRR1012928	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	17beta-estradiol 10 nanomolar	http://purl.obolibrary.org/obo/CHEBI_16469	Yes
SRR1012929	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	17beta-estradiol 10 nanomolar	http://purl.obolibrary.org/obo/CHEBI_16469	Yes
SRR1012930	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	17beta-estradiol 10 nanomolar	http://purl.obolibrary.org/obo/CHEBI_16469	Yes
SRR1012931	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	17beta-estradiol 10 nanomolar	http://purl.obolibrary.org/obo/CHEBI_16469	Yes
SRR1012932	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	17beta-estradiol 10 nanomolar	http://purl.obolibrary.org/obo/CHEBI_16469	Yes
SRR1012933	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	17beta-estradiol 10 nanomolar	http://purl.obolibrary.org/obo/CHEBI_16469	Yes
SRR1012934	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	vehicle	http://www.ebi.ac.uk/efo/EFO_0000732	Yes
SRR1012935	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	vehicle	http://www.ebi.ac.uk/efo/EFO_0000732	Yes
SRR1012936	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	vehicle	http://www.ebi.ac.uk/efo/EFO_0000732	Yes
