Gene ID	Gene Name	SRR1509734	SRR1509741	SRR1509739	SRR1509737	SRR1509730	SRR1509740	SRR1509738	SRR1509733	SRR1509736	SRR1509732	SRR1509731	SRR1509735
ENSG00000000003	TSPAN6	569	706	835	545	439	882	510	792	468	476	484	704
ENSG00000000005	TNMD	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	DPM1	2723	2881	3006	2485	2130	3150	2401	3054	2149	2626	2176	2849
ENSG00000000457	SCYL3	379	315	443	262	224	438	285	491	230	316	282	511
ENSG00000000460	C1orf112	382	383	458	504	361	458	488	538	476	550	499	504
ENSG00000000938	FGR	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000971	CFH	19	33	51	18	19	46	18	13	12	17	22	16
ENSG00000001036	FUCA2	2572	2592	2966	2447	2010	3225	2359	3259	2090	2562	2239	2915
ENSG00000001084	GCLC	3027	2361	2865	1554	2079	3324	1655	3698	1531	2527	2158	3216
ENSG00000001167	NFYA	1075	1103	1361	913	917	1325	839	1401	798	1119	1045	1265
ENSG00000001460	STPG1	116	173	212	105	56	231	93	141	87	97	71	115
ENSG00000001461	NIPAL3	428	678	757	340	245	861	347	532	337	306	284	428
ENSG00000001497	LAS1L	1881	1622	1861	1648	1379	1885	1566	2391	1409	1934	1650	2131
ENSG00000001561	ENPP4	11	9	26	7	5	24	3	6	6	2	2	8
ENSG00000001617	SEMA3F	1186	927	1232	929	668	1181	1031	1618	887	994	901	1337
ENSG00000001626	CFTR	3	2	0	2	8	4	2	2	1	9	5	8
ENSG00000001629	ANKIB1	1974	2051	2766	1463	1398	2856	1693	2604	1524	1881	1762	2426
ENSG00000001630	CYP51A1	71	89	75	59	55	89	95	79	73	76	53	81
ENSG00000001631	KRIT1	141	120	108	115	100	129	90	141	95	147	113	149
ENSG00000002016	RAD52	167	135	166	89	114	157	125	207	120	124	166	217
ENSG00000002079	MYH16	4	5	4	0	0	4	1	3	2	0	0	7
ENSG00000002330	BAD	345	345	348	290	186	377	316	408	351	293	204	391
ENSG00000002549	LAP3	1927	1802	2030	1720	1561	2321	1619	2392	1578	1879	1584	1961
ENSG00000002586	CD99	1290	1541	1962	1258	798	1938	1226	1694	1175	1154	1057	1465
ENSG00000002587	HS3ST1	4	1	0	2	1	0	0	4	2	0	1	1
ENSG00000002726	AOC1	4	9	3	3	6	8	3	11	3	3	4	14
ENSG00000002745	WNT16	0	0	0	1	0	0	1	1	0	0	0	1
ENSG00000002746	HECW1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002822	MAD1L1	491	407	477	396	308	497	411	541	373	406	355	454
ENSG00000002834	LASP1	3744	3260	4176	2817	2107	4460	2805	4726	2708	2800	2446	4209
ENSG00000002919	SNX11	716	646	790	635	636	789	645	934	648	831	665	810
