Gene ID	Gene Name	ERR2200171	ERR2200172	ERR2200162	ERR2200168	ERR2200175	ERR2200166	ERR2200167	ERR2200169	ERR2200173	ERR2200170	ERR2200164	ERR2200176	ERR2200163	ERR2200174	ERR2200165
ENSG00000000003	TSPAN6	123	58	125	131	275	88	115	103	165	142	134	255	70	125	63
ENSG00000000005	TNMD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	DPM1	374	163	275	371	729	273	617	157	391	355	544	867	237	304	282
ENSG00000000457	SCYL3	159	139	165	159	270	138	214	134	184	148	180	350	123	121	124
ENSG00000000460	C1orf112	67	23	63	72	304	71	139	73	76	90	78	195	46	145	37
ENSG00000000938	FGR	0	3	3	0	4	0	0	0	2	0	0	0	1	0	0
ENSG00000000971	CFH	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSG00000001036	FUCA2	532	498	519	424	1216	395	691	466	593	448	809	901	407	484	342
ENSG00000001084	GCLC	296	306	495	346	791	427	639	396	361	399	713	1001	393	373	325
ENSG00000001167	NFYA	204	199	247	182	275	169	250	187	232	184	192	289	128	124	120
ENSG00000001460	STPG1	24	25	32	34	53	30	22	29	38	30	76	52	18	28	15
ENSG00000001461	NIPAL3	145	185	112	87	191	86	85	90	121	109	87	151	67	82	73
ENSG00000001497	LAS1L	252	107	219	212	495	140	277	156	233	199	271	610	154	235	146
ENSG00000001561	ENPP4	159	53	119	173	221	123	152	88	190	167	198	232	85	150	83
ENSG00000001617	SEMA3F	313	791	623	273	380	344	435	401	359	216	719	459	455	254	248
ENSG00000001626	CFTR	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000001629	ANKIB1	1725	1539	1897	1373	2134	1407	2070	1324	1805	1314	2351	3531	1360	1346	1150
ENSG00000001630	CYP51A1	122	1	173	140	209	120	205	23	176	143	236	219	105	127	111
ENSG00000001631	KRIT1	149	2	102	123	170	126	109	54	156	113	148	311	94	108	81
ENSG00000002016	RAD52	50	36	70	43	113	39	78	46	46	52	66	162	29	55	37
ENSG00000002079	MYH16	8	28	12	10	18	15	10	23	15	9	8	18	9	19	19
ENSG00000002330	BAD	130	81	226	136	378	137	230	84	166	151	253	241	130	118	139
ENSG00000002549	LAP3	795	444	848	665	1625	703	1095	474	821	728	1179	1649	671	628	534
ENSG00000002586	CD99	351	502	326	270	545	212	292	320	335	250	327	682	194	249	190
ENSG00000002587	HS3ST1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
